momentum_window,top_n,holding_months,trades,avg_return,median_return,win_rate,best_return,worst_return,avg_available_universe_size
3,1,1,127,0.01882512647307503,0.0006098489914132532,0.5039370078740157,0.8128573411078648,-0.35241120487373445,92.35433070866142
3,1,2,125,0.07118980344209885,0.012248768891172546,0.544,1.1214598983019939,-0.4152867946929496,92.328
3,1,3,124,0.13481099240997352,0.06078185380454093,0.5403225806451613,1.5103231213262913,-0.5065620428402198,92.25806451612904
3,2,1,127,0.027216288479969646,0.006084133404125558,0.5275590551181102,0.5836950213407026,-0.24591729456506517,92.35433070866142
3,2,2,125,0.06924404255104297,0.02586463119960347,0.568,1.0059249709094564,-0.3420228532370777,92.328
3,2,3,124,0.10746548026252543,0.051980253395989495,0.6935483870967742,1.2668274947718257,-0.28367722495004605,92.25806451612904
3,3,1,127,0.02921229972283077,0.0077217966864765826,0.5511811023622047,0.5097421736849992,-0.27245778687361827,92.35433070866142
3,3,2,125,0.06716853931803186,0.034272549868285096,0.624,1.2161336971920145,-0.3140733644345105,92.328
3,3,3,124,0.09616569983806404,0.05349555193815293,0.7258064516129032,1.1170130615230354,-0.2918788792973087,92.25806451612904
4,1,1,127,0.061875261796018814,0.03270795822334227,0.5748031496062992,0.8128573411078648,-0.35241120487373445,92.35433070866142
4,1,2,125,0.13612769854783105,0.09629956239056581,0.656,1.3292620693396717,-0.4152867946929496,92.328
4,1,3,124,0.18937876581215557,0.15152020763402763,0.6935483870967742,1.5103231213262913,-0.40019543776732713,92.25806451612904
4,2,1,126,0.03963951928568289,0.026136883481315987,0.6111111111111112,0.5836950213407026,-0.31052896839608607,92.38888888888889
4,2,2,124,0.09091258773645967,0.06847080771936281,0.6612903225806451,1.0059249709094564,-0.3420228532370777,92.36290322580645
4,2,3,123,0.12965038449877675,0.06546787322907605,0.7560975609756098,1.2668274947718257,-0.270132602208056,92.29268292682927
4,3,1,126,0.03688479281958763,0.018773290424201377,0.5793650793650794,0.5471292323281384,-0.3028622086542851,92.38888888888889
4,3,2,124,0.0845846683767203,0.052994857793810024,0.6693548387096774,1.27561875414089,-0.26690719293522297,92.36290322580645
4,3,3,123,0.12485556767849815,0.0780457823811086,0.7398373983739838,1.327016368603423,-0.3310735342848313,92.29268292682927
5,1,1,127,0.04789418721468836,0.028439503932068178,0.5669291338582677,0.8128573411078648,-0.41011952536559404,92.35433070866142
5,1,2,125,0.11685101691179549,0.07402243517179707,0.64,1.3292620693396717,-0.4006435912172921,92.328
5,1,3,124,0.17157437440916887,0.11396422060806399,0.6451612903225806,1.5103231213262913,-0.4837556171107027,92.25806451612904
5,2,1,127,0.04615057566238165,0.0229679051196508,0.6299212598425197,0.5836950213407026,-0.2784487430528717,92.35433070866142
5,2,2,125,0.09768129695195729,0.05693062583893649,0.728,1.0059249709094564,-0.3420228532370777,92.328
5,2,3,124,0.14973601860625377,0.09915285169491087,0.7258064516129032,1.4433400889780097,-0.3585754506172098,92.25806451612904
5,3,1,127,0.03685515248425093,0.020267021864276907,0.6299212598425197,0.5471292323281384,-0.27800072547503113,92.35433070866142
5,3,2,125,0.07892186729653801,0.047055712991137276,0.704,1.27561875414089,-0.29652736806830665,92.328
5,3,3,124,0.12442402755542385,0.08031236972742814,0.7580645161290323,1.327016368603423,-0.3310735342848313,92.25806451612904
6,1,1,127,0.045622282733114694,0.018279587653664775,0.5669291338582677,0.8128573411078648,-0.41011952536559404,92.35433070866142
6,1,2,126,0.11363298594913765,0.0710800804515418,0.626984126984127,1.3292620693396717,-0.4006435912172921,92.28571428571429
6,1,3,125,0.17203731135362446,0.0835236335281817,0.624,1.6447501455040907,-0.4876768436876804,92.216
6,2,1,126,0.040524215764862453,0.019108303165347368,0.6111111111111112,0.46168220663249804,-0.28125549466784133,92.38888888888889
6,2,2,125,0.09829157407493874,0.05592204323197969,0.672,1.3247771490365594,-0.33450250298786166,92.32
6,2,3,124,0.15337257429199627,0.11379250036681765,0.7096774193548387,1.4433400889780097,-0.3818732726538773,92.25
6,3,1,126,0.0381605794883709,0.022365070963676202,0.5873015873015873,0.5471292323281384,-0.28202945326309564,92.38888888888889
6,3,2,125,0.09046942030547572,0.07237040128841561,0.688,1.27561875414089,-0.30378353396489605,92.32
6,3,3,124,0.13080971037215006,0.08799609822780191,0.7419354838709677,1.327016368603423,-0.3310735342848313,92.25
7,1,1,127,0.061038584676734814,0.033792261770391185,0.6062992125984252,0.8128573411078648,-0.36619556550700005,92.35433070866142
7,1,2,125,0.1320340349424792,0.0924868652291464,0.632,1.3292620693396717,-0.4006435912172921,92.328
7,1,3,124,0.17310450153085083,0.08278038412599864,0.6209677419354839,1.6447501455040907,-0.612489592772095,92.25806451612904
7,2,1,127,0.03886388351180886,0.02719587341683627,0.6220472440944882,0.46168220663249804,-0.28125549466784133,92.35433070866142
7,2,2,125,0.09130562300489521,0.05147365341311139,0.656,1.3247771490365594,-0.33450250298786166,92.328
7,2,3,124,0.1341107676557361,0.08857147023148532,0.6935483870967742,1.4433400889780097,-0.3818732726538773,92.25806451612904
7,3,1,127,0.03694328682165456,0.024241048713729268,0.6299212598425197,0.5471292323281384,-0.22462232920163974,92.35433070866142
7,3,2,125,0.08422520755368107,0.06108925223923112,0.656,1.27561875414089,-0.29652736806830665,92.328
7,3,3,124,0.120550092229924,0.0842211140421146,0.7661290322580645,1.327016368603423,-0.33612861601553234,92.25806451612904
